TimeStamp,ECG Data,GSR Data,EMG Data
7240,510,544,507
7247,509,544,548
7257,505,542,427
7264,514,546,602
7272,503,542,478
7280,512,544,543
7288,509,544,515
7297,506,542,438
7304,516,546,599
7312,503,542,438
7320,511,544,533
7328,509,544,539
7335,506,542,446
7345,515,546,606
7351,508,542,472
7360,522,544,507
7367,521,544,572
7376,517,542,454
7385,530,546,582
7392,524,542,450
7400,527,544,524
7408,519,544,542
7416,508,542,457
7425,507,546,600
7432,494,542,472
7440,504,544,528
7448,501,544,522
7456,497,542,441
7464,507,546,576
7471,497,542,474
7480,507,544,539
7487,503,544,544
7496,487,542,437
7504,486,546,587
7513,508,542,398
7520,603,545,525
7528,681,544,565
7536,739,542,480
7544,675,546,597
7553,507,542,449
7560,459,544,557
7568,441,544,510
7576,458,542,426
7584,479,546,624
7591,472,542,367
7601,484,545,497
7607,482,545,565
7616,481,543,480
7624,493,546,577
7632,486,542,428
7641,498,546,563
7648,494,545,561
7656,496,543,373
7664,507,547,553
7672,498,542,421
7681,510,545,540
7688,508,544,541
7696,507,543,452
7704,520,547,613
7711,512,543,468
7720,526,546,586
7727,526,545,583
7736,526,543,489
7744,539,547,604
7752,531,543,446
7760,545,546,600
7769,539,544,524
7776,537,543,419
7784,543,547,586
7792,527,543,426
7800,530,546,522
7809,512,544,506
7816,502,543,449
7824,500,547,597
7831,482,543,448
7840,487,546,562
7847,476,545,508
7857,474,544,479
7864,482,547,580
7872,473,543,420
7880,486,546,560
7888,481,545,500
7897,485,544,415
7904,494,547,568
7912,486,543,421
7920,498,546,528
7928,494,545,499
7937,495,544,448
7944,504,547,598
7951,494,543,454
7960,505,547,569
7967,500,545,537
7976,500,544,478
7985,506,547,528
7992,498,543,414
8000,508,547,543
8008,502,545,508
8016,504,544,490
8025,509,547,592
8032,498,543,425
8040,509,546,542
8048,500,545,488
8056,501,544,464
8065,508,547,605
8072,498,544,457
8080,510,547,565
8087,504,545,526
8096,503,544,441
8104,508,547,565
8112,500,544,414
