TimeStamp,ECG Data,GSR Data
9673,505,534
9680,506,534
9687,509,534
9693,512,534
9700,513,534
9706,513,534
9713,517,534
9719,524,534
9726,531,534
9733,533,534
9740,526,534
9746,518,534
9753,508,534
9760,499,534
9766,494,534
9774,493,534
9780,492,534
9786,492,534
9793,492,534
9800,493,534
9806,494,534
9814,496,534
9820,496,534
9826,498,533
9833,499,533
9840,499,533
9846,493,533
9853,478,533
9861,469,533
9866,491,533
9872,563,533
9880,659,533
9886,739,533
9893,767,533
9900,656,533
9906,536,533
9913,430,533
9920,409,533
9926,429,533
9933,460,533
9940,471,533
9946,472,533
9953,473,532
9960,477,532
9966,480,532
9973,484,532
9980,488,532
9987,490,532
9993,494,532
10000,497,532
10006,500,532
10013,503,532
10020,504,532
10027,507,532
10033,508,532
10040,509,532
10046,512,532
10052,516,532
10060,518,532
10066,518,531
10074,519,531
10079,521,531
10086,524,531
10093,527,531
10100,528,531
10106,529,531
10114,530,531
10120,528,531
10126,525,531
10133,521,531
10140,515,531
10146,511,531
10153,506,531
10160,502,531
10166,500,531
10173,496,531
10180,490,531
10186,488,531
10193,489,531
10201,492,531
10206,495,531
10213,498,531
10220,507,531
10226,509,531
10233,512,531
10241,516,531
10246,514,531
10253,505,531
10259,504,531
10266,506,531
10273,506,531
10280,504,531
10286,504,531
10293,504,531
10300,503,531
10306,504,531
10313,503,531
10320,502,531
10327,506,531
10333,509,531
10340,509,531
10346,507,531
10353,511,531
10360,520,531
10366,525,531
10373,526,531
10380,519,531
10386,510,531
10393,502,531
10400,494,531
10406,490,531
10414,489,532
10420,488,532
10426,488,532
10433,489,532
10440,490,532
10446,493,532
10454,495,533
10460,496,533
10465,496,533
10473,498,533
10480,498,533
10486,488,533
10492,469,533
10501,463,534
10506,496,534
10513,594,534
10520,679,534
10526,756,534
10533,758,534
10541,606,534
10546,514,534
10553,422,534
10560,410,534
10566,437,535
10573,461,535
10580,468,535
10586,471,535
10593,474,535
10600,478,535
10606,482,535
10613,485,535
10620,487,535
10627,490,535
10633,495,535
10640,498,535
10646,499,535
10653,502,535
10660,504,535
10667,506,535
10672,508,535
10680,510,535
10686,511,535
10693,514,535
10699,517,535
10706,520,535
10714,523,535
10720,524,535
10726,526,535
10733,529,535
10740,530,535
10746,530,535
10754,529,535
10760,528,535
10766,526,535
10773,519,535
10780,514,535
10786,507,535
10793,502,535
10800,499,535
10806,495,535
10813,490,535
10820,488,535
10826,488,534
10833,488,534
10841,489,534
10846,490,534
10852,492,534
10860,494,534
10866,495,534
10873,499,534
10880,500,534
10886,501,534
10893,502,534
10900,503,534
10906,504,534
10913,505,534
10920,504,534
10927,504,534
10933,505,534
10940,503,534
10946,503,534
10953,503,534
10960,504,534
10967,507,534
10973,511,534
10980,510,533
10986,511,534
10993,517,534
11000,525,533
11006,530,533
11013,528,533
11020,518,533
11026,508,533
11033,500,533
11040,495,533
11046,492,533
11054,490,533
